2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1618], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1619], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1620], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1621], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1622], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1623], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1624], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1625], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1626], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1627], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1628], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1629], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1630], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1631], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1632], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1633], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1634], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1635], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1636], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1637], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1638], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1639], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1640], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1641], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1642], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1643], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1644], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1645], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1646], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1647], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1648], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1649], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1650], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1651], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1652], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1653], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1654], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1655], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1656], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1657], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1658], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1659], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1660], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1661], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1662], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1663], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1664], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1665], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1666], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1667], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1668], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1669], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1670], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1671], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1672], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1673], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1674], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1675], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1676], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1677], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1678], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1679], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1680], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1681], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1682], was: [<unreferenced>] (initialized)
2020-03-25 10:52:40 DEBUG Collections:196 - Collection found: [be.pxl.student.entity.Account.payments#1683], was: [<unreferenced>] (initialized)
